file_name,sentence,score,label
coal gasification no easy feat  say industry players,zero-percent coal royalty may not suffice to answer indonesia coal downstream ambitions with said there were many unnoticed challenges that the government may need to take into account indonesia's plans for downstreaming coal industries have a long way to go and a recently introduced government incentive to accelerate development is deemed ins,-0.9989802241325378,negative
coal gasification no easy feat  say industry players,please update your browser your browser is out of date and may not be compatible with our website a list of the most popular web browsers can be found below just click on the icons to get to the download page zero-percent coal royalty may not suffice to answer indonesia coal downstream ambitions with said there were many,-0.9997584223747253,negative
coal gasification no easy feat  say industry players,ndonesia's plans for downstreaming coal industries have a long way to go and a recently introduced government incentive to accelerate development is deemed insufficient by industry players particularly those engaged in coal gasification on dec president joko jokowi widodo signed government regulation in lieu of law perppu no,-0.9994279742240906,negative
coal gasification no easy feat  say industry players,which grants companies that hold mining licenses iups or special mining permits iupks the privilege of -percent coal royalties if they invest in downstream industries,-0.9765496253967285,negative
coal gasification no easy feat  say industry players,however expecting a newly born industry currently dominated by capital-intensive coal gasification activities to thrive solely on the -percent coal royalty is too much according to singgih widagdo chairman of the indonesian mining and energy forum imef,-0.9976900815963745,negative
coal gasification no easy feat  say industry players,coal gasification accounts for seven of downstream projects all of which are located in coal-rich south sumatra and kalimantan data from the energy and mineral resources ministry show,-0.6488309502601624,negative
coal gasification no easy feat  say industry players,the -percent royalty incentive is insufficient for contract of work pkpb holders who are working on coal-to-dimethyl ether dme projects he told the jakarta post on monday,-0.9977117776870728,negative
coal gasification no easy feat  say industry players,the economics of coal-to-dme processing facilities were complicated by numerous external factors including a limited number of gasification technology owners which were expected to affect mining firms' capital expenditure he explained developing such projects is no easy feat and thus needs the government's full support he said,-0.998723566532135,negative
coal gasification no easy feat  say industry players,to accelerate downstream efforts the government may need to consider granting market access investment protection and import duty exemption for dme equipment among other incentives singgih suggested,-0.983082115650177,negative
coal gasification no easy feat  say industry players,read also explainer indonesia's push for coal downstreaming against all odds indonesia which has the seventh-largest coal reserves in the world is seeking to transform low-quality coal into value-added products such as methanol dme urea and other compounds,0.9833958148956299,positive
coal gasification no easy feat  say industry players,dme would then replace to some extent imported liquefied petroleum gas lpg indonesia's cooking fuel of choice worth around us billion in while coal gasification technology is not new very few have ever applied the technology because of its poor economic returns,-0.9992790818214417,negative
coal gasification no easy feat  say industry players,coal mining companies have warned that coal gasification was a very expensive undertaking and therefore asked for huge incentives to make projects feasible,-0.9887312054634094,negative
